№ задания     Серия A          Серия B          Серия C          Серия D          Серия E     
    1            0                1                0                1                0
    2            0                0                1                0                0
    3            0                0                1                1                0
    4            1                1                0                0                0
    5            0                0                0                0                0
    6            0                0                0                0                0
    7            0                0                0                0                0
    8            1                0                0                0                0
    9            0                0                0                0                1
    10           0                0                0                0                0
    11           0                0                0                0                0
    12           0                0                0                0                0
Сумма:           2                2                2                2                1
Общая сумма:     9
Ср.время:           2.56285                0.0907                0.13995                0.09355                0.11565
Общее ср.время: 0.51257
