№ таблицы                  Время     
Серия 1 Таблица 1:    0.966
Серия 1 Таблица 2:    0.1404
Серия 1 Таблица 3:    0.0936
Серия 1 Таблица 4:    0.0942
Серия 1 Таблица 5:    0.1032
Серия 1 Таблица 6:    0.075
Серия 1 Таблица 7:    0.0846
Серия 1 Таблица 8:    0.075
Серия 1 Таблица 9:    0.1872
Серия 1 Таблица 10:    0.0564
Серия 1 Таблица 11:    0.0936
Серия 1 Таблица 12:    0.066
Серия 2 Таблица 1:    0.0936
Серия 2 Таблица 2:    0.075
Серия 2 Таблица 3:    0.075
Серия 2 Таблица 4:    0.0654
Серия 2 Таблица 5:    0.075
Серия 2 Таблица 6:    0.1848
Серия 2 Таблица 7:    0.0846
Серия 2 Таблица 8:    0.0654
Серия 2 Таблица 9:    0.15
Серия 2 Таблица 10:    0.1032
Серия 2 Таблица 11:    0.108
Серия 2 Таблица 12:    0.075
Серия 3 Таблица 1:    0.6
Серия 3 Таблица 2:    0.1032
Серия 3 Таблица 3:    0.0846
Серия 3 Таблица 4:    0.075
Серия 3 Таблица 5:    0.084
Серия 3 Таблица 6:    0.0942
Серия 3 Таблица 7:    0.0936
Серия 3 Таблица 8:    0.0936
Серия 3 Таблица 9:    0.0936
Серия 3 Таблица 10:    0.0996
Серия 3 Таблица 11:    0.1134
Серия 3 Таблица 12:    0.084
Серия 4 Таблица 1:    0.1032
Серия 4 Таблица 2:    0.1032
Серия 4 Таблица 3:    0.0942
Серия 4 Таблица 4:    0.0936
Серия 4 Таблица 5:    0.1122
Серия 4 Таблица 6:    0.1128
Серия 4 Таблица 7:    0.084
Серия 4 Таблица 8:    0.1032
Серия 4 Таблица 9:    0.1032
Серия 4 Таблица 10:    0.0936
Серия 4 Таблица 11:    0.1032
Серия 4 Таблица 12:    0.1032
Серия 5 Таблица 1:    0.1314
Серия 5 Таблица 2:    0.0846
Серия 5 Таблица 3:    0.1026
Серия 5 Таблица 4:    0.1032
Серия 5 Таблица 5:    0.1032
Серия 5 Таблица 6:    0.1032
Серия 5 Таблица 7:    0.1128
Серия 5 Таблица 8:    0.1032
Серия 5 Таблица 9:    0.1032
Серия 5 Таблица 10:    0.1032
Серия 5 Таблица 11:    0.1032
Серия 5 Таблица 12:    0.1218
